edition,series_type,series_name,date,time,title,speaker,speaker_title,institution,description,notes,speaker_bio
Winter/Spring 2019,tuesday-distinguished,Distinguished Lecture Series,2019-03-12,10:00-11:30am,Macroeconomic Prospects for the US and the Globe,Dr. Kathryn M.E. Dominguez,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2019 season — record reconstructed from announcement emails.,
Winter/Spring 2019,tuesday-distinguished,Distinguished Lecture Series,2019-04-09,10:00-11:30am,"Democracy, Dictatorship, and Development: In What Ways does the Type of Political Regime Matter?",Dr. Jonathan Hanson,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2019 season — record reconstructed from announcement emails.,"Matter?” with Dr. Jonathan Hanson. Parking: Look for OLLI Event Signs on East Huron River Drive close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Don’t forget: coffee and pastries will be in the lobby before the lecture, courtesy of Diane Wright! Donations will be accepted."
Winter/Spring 2019,tuesday-distinguished,Distinguished Lecture Series,2019-05-14,10:00-11:30am,The Fall and Rise of Income Inequality in the United States,Charles L. Ballard,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2019 season — record reconstructed from announcement emails.,
Winter/Spring 2019,thursday-series,The Future of Work,2019-05-30,10:00-11:30am,Artificial Intelligence and the (Vanishing?) Future of Work,Kentaro Toyama,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2019 season — record reconstructed from announcement emails.,
Winter/Spring 2019,tuesday-distinguished,Distinguished Lecture Series,2019-06-11,10:00-11:30am,The Constitution at the Border: When Immigration Policy and Constitutional Norms Clash,Margo Schlanger,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2019 season — record reconstructed from announcement emails.,Professor Margo Schlanger.
Fall 2019,tuesday-distinguished,Distinguished Lecture Series,2019-09-10,10:00-11:30am,The Impact of Religion on Politics in the Middle East,Saeed Khan,"Senior Lecturer, Near East & Asian Studies, Global Studies",Wayne State University,"Religion in politics is the most crucial issue facing Middle East countries. The region faces challenges for the application of modernity in terms of secularism, especially in a locale where democracy and individualism have had generally little latitude as a whole. This is due partly from its history, and where many use religion to justify their authoritarian political systems. Could technological advances have an impact and at what pace? This presentation will explore the always-changing landscape of the Middle East as a religion, politics and technology compete, clash and coexist.",,"Saeed A. Khan is a Senior Lecturer in the Department of Near East and Asian Studies at Wayne State University. He teaches Islamic and Middle East history, politics and culture, and is a Fellow at the Center for the Study of Citizenship. He is also Adjunct Professor in Islamic Studies at the University of Detroit-Mercy and at Rochester College, co-teaching a course on Muslim-Christian Diversity."
Fall 2019,thursday-series,"South Africa: Past, Present, and a Look Forward",2019-09-12,9:30-11:00am,"Early History of South Africa, c. 900-1930",Raevin Jimenez,"Ph.D., LSA Collegiate Review",,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2019,thursday-series,"South Africa: Past, Present, and a Look Forward",2019-09-26,10:00-11:30am,"De Facto and De Jure Apartheid: On the Moral, Political and Policy Failures of the Post-Apartheid",,,,"State: A Call for an Official State Apology for Apartheid in South Africa with Yazier Henry, Lecturer in Public Policy at The Ford School. Parking: Look for OLLI Event Signs on East Huron River Dr. close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Listening devices and attachments for a hearing loop for those that have a T-coil in their hearing aid are available to our members for free. If you’re interested, please see OLLI member MaryClare Olson who will be inside the auditorium. We look forward to seeing you! If you have purchased an all lecture series package or distinguished lecture series package there is no cost for this lecture.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; Speaker not named in the announcement email.,
Fall 2019,thursday-series,"South Africa: Past, Present, and a Look Forward",2019-10-03,10:00-11:30am,Education Inequality and Income Inequality in South Africa since the End of Apartheid,David Lam,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,"Professor David Lam. Parking: Look for OLLI Event Signs on East Huron River Dr. close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Listening devices and attachments for a hearing loop for those that have a T-coil in their hearing aid are available to our members for free. If you’re interested, please see OLLI member MaryClare Olson who will be inside the auditorium. We look forward to seeing you! If you have purchased an all lecture series package or distinguished lecture series package there is no cost for this lecture."
Fall 2019,thursday-series,"South Africa: Past, Present, and a Look Forward",2019-10-10,10:00-11:30am,South African Performing Arts in the New Democracy,Dr. Anita Gonzalez,Professor of Theatre and Drama,,"Theatre and Drama. Parking: Look for OLLI Event Signs on East Huron River Dr. close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Listening devices and attachments for a hearing loop for those that have a T-coil in their hearing aid are available to our members for free. If you’re interested, please see OLLI member MaryClare Olson who will be inside the auditorium. We look forward to seeing you! If you have purchased an all lecture series package or distinguished lecture series package there is no cost for this lecture.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2019,thursday-series,"South Africa: Past, Present, and a Look Forward",2019-10-17,10:00-11:30am,Innovative Disruption – A Youth Dialogue on Reforming Exclusionary Systems in South Africa,Gigi Ngcobo,"MSU Senior, Finance and UX Design & Nomzamo Ntombela, MSU Ph.D. Candidate, African History",,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,"Gigi Ngcobo, MSU Senior, Finance and UX Design & Nomzamo Ntombela, MSU Ph.D. Candidate, African History. Parking: Look for OLLI Event Signs on East Huron River Dr. close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Listening devices and attachments for a hearing loop for those that have a T-coil in their hearing aid are available to our members for free. If you’re interested, please see OLLI member MaryClare Olson who will be inside the auditorium. We look forward to seeing you! If you have purchased an all lecture series package or distinguished lecture series package there is no cost for this lecture."
Fall 2019,tuesday-distinguished,Distinguished Lecture Series,2019-10-22,10:00-11:30am,Escape from Nazi Germany and the Holocaust to Shanghai,Berl Falbaum,Former Political Reporter for the Detroit News,,"Hitler came to power in 1933. At that time there were approximately 500 thousand Jews in Germany and approximately 180 thousand Jews in Austria. They were loyal to their country, were part of the government, and fought for Germany in World War 1. Hitler had a plan to annihilate the world’s Jews. Jews were stripped of their citizenship, their property taken over and their means of a livelihood destroyed. Jews were given an X amount of time to find a country that would take them over, otherwise they would be thrown into concentration camps. Aside from the Dominican Republic, Shanghai was the only place that remained open to these refugees without requiring a visa. Approximately 20 thousand German, Austrian and Polish Jews were able to make the trip. Mr. Falbaum’s family was among those that made the journey. In his presentation, Mr. Falbaum will describe his family’s experiences and those of other Jews. He has compiled and edited a book Shanghai Remembered: Stories of Jews Who Escaped to Shanghai from Nazi Germany.",,
Fall 2019,thursday-series,"Voting in America: Perennial Issues, Current Developments",2019-10-31,10:00-11:30am,From Vote to Government: A Short Guide to the Complexity of the American Electoral System,Dr. Jenna Bednar,Professor of Political Science at the University of Michigan,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,"Dr. Jenna Bednar, Professor of Political Science at the University of Michigan Parking: Look for OLLI Event Signs on East Huron River Dr. close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Listening devices and attachments for a hearing loop for those that have a T-coil in their hearing aid are available to our members for free. If you’re interested, please see OLLI member MaryClare Olson who will be inside the auditorium. We look forward to seeing you! If you have purchased an all lecture series package or distinguished lecture series package there is no cost for this lecture."
Fall 2019,tuesday-distinguished,Distinguished Lecture Series,2019-11-12,10:00-11:30am,Actual Innocence in Michigan: An Update from the Michigan Innocence Clinic,David Moran,"Professor, Clinical Professor of Law, Michigan Innocence Clinic",University of Michigan,Professor Moran will speak about the problem of wrongful convictions in Michigan and how the Michigan Innocence Clinic investigates and litigates cases where persons have been wrongfully convicted but there is no DNA evidence to test. Professor Moran will discuss several recent cases in which the Michigan Innocence Clinic has achieved exonerations for its clients.,Description/bio enriched from OLLI announcement emails (BLC-012).,Moran.
Fall 2019,thursday-series,"Voting in America: Perennial Issues, Current Developments",2019-11-14,10:00-11:30am,Why Do We Have the Electoral College? Should We?,Ken Kollman,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2019,thursday-series,"Voting in America: Perennial Issues, Current Developments",2019-11-21,10:00-11:30am,Making Voting More Convenient: Implementing Michigan’s Proposal 3 (Promote the Vote),"Panel: Riley Beggin (moderator), Dr. Susan Smith, Lawrence Kestenbaum",,,"moderator Riley Beggin and panelists Dr. Susan Smith and Lawrence Kestenbaum. Parking: Look for OLLI Event Signs on East Huron River Dr. close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Don’t forget: coffee and pastries will be in the lobby before the lecture, courtesy of Diane Wright! Donations will be accepted. Listening devices and attachments for a hearing loop for those that have a T-coil in their hearing aid are available to our members for free. If you’re interested, please see OLLI member MaryClare Olson who will be inside the auditorium. We look forward to seeing you! If you have purchased an all lecture series package or distinguished lecture series package there is no cost for this lecture.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2019,thursday-series,"Voting in America: Perennial Issues, Current Developments",2019-12-05,10:00-11:30am,Dragon-Slaying Takes Time: The Complex Process of Ending Gerrymandering After the Passage of Proposition 2,Kevin Deegan-Krause,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,"Proposition 2 with Kevin Deegan-Krause. Parking: Look for OLLI Event Signs on East Huron River Dr. close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Don’t forget: coffee and pastries will be in the lobby before the lecture, courtesy of Diane Wright! Donations will be accepted. Listening devices and attachments for a hearing loop for those that have a T-coil in their hearing aid are available to our members for free. If you’re interested, please see OLLI member MaryClare Olson who will be inside the auditorium. We look forward to seeing you! If you have purchased an all lecture series package or distinguished lecture series package there is no cost for this lecture."
Fall 2019,tuesday-distinguished,Distinguished Lecture Series,2019-12-10,10:00-11:30am,How Polio Helped FDR Win the Presidency,Professor James Tobin,Professor of Journalism,Miami University,"According to the conventional wisdom that has grown up around the public image of Franklin D. Roosevelt in the post-Watergate era, he became president only by fooling the public about the paralysis he suffered as a result of poliomyelitis. In fact, the author’s research shows that FDR made masterful use of his disability as he recovered from the disease and rose to the White House.",,"After earning a Ph.D. in history at the University of Michigan, James Tobin spent 20 years as a newspaper reporter and freelance writer. His books include Ernie Pyle’s War (1997), which won the National Book Critics Circle Award in biography; To Conquer the Air: The Wright Brothers and the Great Race for Flight (2003); and The Man He Became: How FDR Defied Polio to Win the Presidency (2013)."
Fall 2019,thursday-series,"Voting in America: Perennial Issues, Current Developments",2019-12-12,10:00-11:30am,"Race, the Party System, and Elite Incentives in American Elections",Vincent L. Hutchings,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,"Hutchings Parking: Look for OLLI Event Signs on East Huron River Dr. close to the two parking lots nearest the lecture venue. There is also a map with directions and a parking map attached. Accessibility: Handicapped accessible parking is available and there should be sufficient parking for all participants. For this lecture we will setup approximately 6 additional handicapped parking spaces in Lot 1 which is located next to the circle drive at the main entrance of Towsley Auditorium. Accessible seating is available via the side entrances, and once inside you will find plenty of OLLI hosts happy to guide you. Also, because some people have sensitivity to fragrances, we request that fragrances of any kind not be worn to OLLI lectures. Don’t forget: coffee and pastries will be in the lobby before the lecture, courtesy of Diane Wright! Donations will be accepted. Listening devices and attachments for a hearing loop for those that have a T-coil in their hearing aid are available to our members for free. If you’re interested, please see OLLI member MaryClare Olson who will be inside the auditorium."
Fall 2019,thursday-series,The Impact of Social Media on Society,2020-01-09,10:00-11:30am,Social Media Research: What We Know Now,Cliff Lampe,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2019,tuesday-distinguished,Distinguished Lecture Series,2020-01-14,10:00-11:30am,Living Transgender: The Struggles and Rewards,"Max, Will, and Stephanie",,,"Celebrate and explore the spirit of tolerance in this Martin Luther King, Jr. panel discussion with three transgender people. Our panel will share stories about their personal struggles and rewards. Meet a married transman who is the father of three young children, a transgender man who leads the UM Spectrum Center, and a woman who identifies as gender non-conforming. OLLI member Bill Roberts will act as panel moderator. Join us for this timely and meaningful discussion on gender perspectives.","Martin Luther King, Jr. panel discussion; the three transgender panelists are identified by first name only as printed. OLLI member Bill Roberts moderates.",
Fall 2019,thursday-series,The Impact of Social Media on Society,2020-01-16,10:00-11:30am,Mobile Media and Parenting,Jenny Radesky,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2019,thursday-series,The Impact of Social Media on Society,2020-01-23,10:00-11:30am,How Do Online Social Networks Influence People’s Emotional Lives?,Ethan Kross,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2019,thursday-series,The Impact of Social Media on Society,2020-01-30,10:00-11:30am,Restoring Justice to Targets of Online Harassment,Sarita Schoenebeck,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2019,thursday-series,The Impact of Social Media on Society,2020-02-06,10:00-11:30am,"Why We Use Social Media: Evolution, Neuroscience, and Problematic Use",Dar Meshi,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,Meshi.
Winter/Spring 2020,tuesday-distinguished,Distinguished Lecture Series,2020-02-11,10:00-11:30am,The Doctor as a Patient: How it Changed Her Life,Rana Awdish,MD,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2020 season — record reconstructed from announcement emails.,
Winter/Spring 2020,tuesday-distinguished,Distinguished Lecture Series,2020-03-03,10:00-11:30am,Escape from Nazi Germany and the Holocaust to Shanghai,Berl Falbaum,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2020 season — record reconstructed from announcement emails.,
Fall 2020,tuesday-distinguished,Distinguished Lecture Series,2020-09-08,10:00-11:30am,Democracy and Debate,Michael Barr,Joan and Samuel Weill Dean of Public Policy at the Gerald R. Ford School,University of Michigan,"The speaker will explore the critical issues facing the country during the Fall 2020 election, including the COVID-19 pandemic and the economic crisis.",All Fall 2020 programs offered online (COVID-19).,"Michael S. Barr is the Joan and Samuel Weill Dean of Public Policy at the Gerald R. Ford School, the Frank Murphy Collegiate Professor of Public Policy, the Roy F. and Jean Humphrey Proffit Professor of Law, and Faculty of the Center on Finance, Law and Policy at the University of Michigan. He served from 2009-2010 as the U.S. Department of the Treasury’s Assistant Secretary for Financial Institutions, and was a key architect of the Dodd Frank Wall Street Reform and Consumer Protection Act of 2010. He received his J.D. from Yale Law School; his Ph.D. in International Relations from Magdalen College, Oxford University, as a Rhodes Scholar, and his B.A. summa cum laude, with Honors in History from Yale University."
Fall 2020,special,Election 2020,2020-09-11,10:00-11:30am,Voting During COVID-19: Nonpartisan Strategies on Campus,Edie Goldenberg (moderator) with a panel of four students,Professor of Political Science and Public Policy,University of Michigan,"Many efforts are underway to increase college student voting. This panel of college students will discuss what is happening at U-M, statewide, and nationally to get students registered to vote and committed to voting. The panel will also discuss what motivated them to get involved with these efforts, what they have learned along the way, and how the pandemic has impacted their work. The panel will be moderated by Edie Goldenberg, PhD, Professor of Political Science and Public Policy at University of Michigan.",,"Edie N. Goldenberg is Professor of Political Science and Public Policy at the University of Michigan. She is currently the faculty advisor of Turn Up Turnout (TUT), a student organization on campus that works in a nonpartisan way to increase student voting at UM. TUT also works with other universities in the Big Ten Conference, with colleges around the state of Michigan, with more than 50 other universities across the country, and with a number of national organizations. Previously, Dr. Goldenberg served as founder and faculty director of the Michigan in Washington Program (2004-16), Dean of the College of Literature, Science and the Arts (1989-98), and Director of the Gerald R. Ford School of Public Policy (1987-89)."
Fall 2020,special,The Lasting Impact of COVID-19,2020-09-15,10:00-11:30am,Health Perspectives on COVID-19,"Preeti N. Malani, Joy Ensor, and Jimena Loveluck",,,Three “essential” medical professionals share their unique observations and experiences about caring for Covid-19 patients.,,"Preeti N. Malani, M.D., MSJ, as chief health officer, serves as an adviser to the President on matters of health and well-being of the university community. Dr. Malani is a graduate of UM. She received her MD degree from Wayne State University School of Medicine. She is the director of the National Poll on Healthy Aging and an Associate Editor of the Journal of the American Medical Association (JAMA).

Joy Wolfe Ensor, Ph.D., is a licensed psychologist whose career has included public sector service, private practice, and adjunct faculty appointments at Wayne State and Eastern Michigan Universities. Dr. Ensor is a Fellow of the Michigan Psychological Association, received its Distinguished Psychologist Award in 2017, and is currently serving as its President.

Jimena Loveluck is the health officer of the Washtenaw County Health Department where she has served since 2017. She has a Master’s Degree focused in Social Work; Community Organization/Social Policy and Planning from Boston College. Loveluck is the first Latinx and first bilingual health officer for Washtenaw County."
Fall 2020,thursday-series,"Poverty, Inequity, and Disparity",2020-09-17,10:00-11:30am,The Questions We Don’t Know to Ask: Studying Poverty in 21st Century America,H. Luke Shaefer,Professor,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
