edition,series_type,series_name,date,time,title,speaker,speaker_title,institution,description,notes,speaker_bio
Fall 2020,special,Election 2020,2020-09-11,10:00-11:30am,Voting During COVID-19: Nonpartisan Strategies on Campus,Edie Goldenberg (moderator) with a panel of four students,Professor of Political Science and Public Policy,University of Michigan,"Many efforts are underway to increase college student voting. This panel of college students will discuss what is happening at U-M, statewide, and nationally to get students registered to vote and committed to voting. The panel will also discuss what motivated them to get involved with these efforts, what they have learned along the way, and how the pandemic has impacted their work. The panel will be moderated by Edie Goldenberg, PhD, Professor of Political Science and Public Policy at University of Michigan.",,"Edie N. Goldenberg is Professor of Political Science and Public Policy at the University of Michigan. She is currently the faculty advisor of Turn Up Turnout (TUT), a student organization on campus that works in a nonpartisan way to increase student voting at UM. TUT also works with other universities in the Big Ten Conference, with colleges around the state of Michigan, with more than 50 other universities across the country, and with a number of national organizations. Previously, Dr. Goldenberg served as founder and faculty director of the Michigan in Washington Program (2004-16), Dean of the College of Literature, Science and the Arts (1989-98), and Director of the Gerald R. Ford School of Public Policy (1987-89)."
Fall 2020,special,Election 2020,2020-09-21,10:00-11:30am,Citizen Activism: Driver of A Healthy Democracy,"Roddy Wares, Lisa Wozniak, and Branden Snyder; Karen Bantel, moderator",,,"Citizen participation is the crucial process through which private individuals and groups work to influence public decisions as part of the democratic process. Organizations ranging from national issue-oriented groups to local broad-based grass roots groups work to enhance citizen participation. This “bottom up” activity may include advocacy, lobbying, protests, strikes, petition drives, ballot proposals, lawsuits and political campaigning. Citizen activism driven by real community needs and desires can be a powerful transformative force. Our panelists will help us understand how the organizations that they represent aid individuals in understanding ideas about citizenship, politics, government and the issues important to their communities and specific organizations.","Panel: League of Women Voters, Michigan League of Conservation Voters, Detroit Action.","Roddy Wares has been an active member of the League of Women Voters in the Ann Arbor area since 2016. She leads the committee that registered students in almost all of the Washtenaw County high schools as well as WCC for the past three years and also leads the LWVAAA effort to register seniors. Currently she is working with Voting Access for All Coalition.    Lisa Wozniak’s career spans over two decades of environmental and conservation advocacy in the political arena. She is a nationally recognized expert in non-profit growth and management and a leader in Great Lakes protections. Lisa is a three-time graduate from the University of Michigan. Before becoming Executive Director in 2006, Wozniak was a member of the Michigan LCV Board.    Born and raised on Detroit’s East Side, Branden Snyder, executive director of Detroit Action, has been involved in electoral and community organizing projects throughout the U.S. for 10 years. Previously, he was the Deputy Organizing Director in charge of Youth Voting for the Hillary for Michigan 2016 presidential campaign and Director of Organizing for Michigan United.    Karen Bantel, Ph.D., was formerly a professor of business strategy and entrepreneurship at the University of Michigan and Wayne State University, and consulted in those areas for many years. She has facilitated and moderated a number of OLLI offerings."
Fall 2020,special,Election 2020,2020-10-07,10:00-11:00 am,"Safe, Secure and Accessible Elections for All",Jocelyn Benson,Michigan Secretary of State,,"Secretary Benson will discuss the many options voters have to cast their ballots safely this year, and the work to support clerks and voters to ensure all ballots are counted and kept secure.",FREE to the public; co-sponsored by the Alumni Association of University of Michigan.,"Jocelyn Benson is Michigan’s 43rd Secretary of State. In this role she is focused on ensuring elections are secure and accessible, and dramatically improving customer experiences for all who interact with our offices. Benson is the author of State Secretaries of State: Guardians of the Democratic Process, the first major book on the role of the secretary of state in enforcing election and campaign finance laws. A graduate of Harvard Law School and expert on civil rights law, education law and election law, Benson served as dean of Wayne State University Law School in Detroit. When she was appointed dean at age 36, she became the youngest woman in U.S. history to lead a top-100, accredited law school. Prior to her election, she served as CEO of the Ross Initiative in Sports for Equality (RISE)."
Fall 2020,special,Election 2020,2020-10-12,10:00-11:30am,Michigan and Other Battleground States,"Stephen Henderson (moderator), Riley Beggin, and Tim Alberta",,,"Michigan is one of a group of swing states that have had close, competitive races in recent presidential campaigns and down ballot contests. A panel of journalists explores how Michigan and other current battleground states are faring and impacting the 2020 campaigns and election. They will examine what causes battleground states to swing and what effect they have on political parties or candidates’ choices of issues to emphasize.",,"Stephen Henderson is host of Detroit Today on WDET, co-host of One Detroit on Detroit Public Television, project executive for BridgeDetroit and a Pulitzer Prize-winning journalist. A native of Detroit, Henderson is a graduate of University of Detroit High School and the University of Michigan. His resume includes stints at the Detroit Free Press, the Chicago Tribune, the Baltimore Sun, and four years covering the Supreme Court for Knight Ridder’s Washington Bureau.    Riley Beggin is a Capitol reporter covering Michigan politics, including legislative, gubernatorial and other statewide elections. She joined Bridge in January 2018 after working at KPCC, Los Angeles’ NPR member station. She also holds a Master’s Degree in investigative journalism from the University of Missouri.    Tim Alberta is chief political correspondent for POLITICO, where his longer form work is often published in the publication’s magazine. He co-moderated the final Democratic presidential primary debate in 2019 hosted by PBS Newshour and POLITICO. Based in Michigan and tasked with roving widely across battleground states, Alberta writes a regular “Letter to Washington.”"
Fall 2020,special,Election 2020,2020-10-26,10:00-11:30am,A Survivor’s Guide to Election 2020,Robert Yoon,"UM Visiting Professor and Associate Director, Knight-Wallace Fellowship for Journalists",University of Michigan,"Presidential election years are known for their dramatic twists and turns, but 2020 takes the cake. This year, the race for the White House has been completely redefined by a pandemic that has upended every aspect of daily life, and a widespread social movement that has forced a national conversation on race and justice. As a result, candidates as well as the news media have had to adapt to an ever-evolving landscape. As the campaign enters its final week, we’ll explore how the extraordinary events of 2020 have shaped the presidential campaign thus far and identify what to watch for on Election Night.",,"Robert Yoon is a visiting professor of journalism and the associate director of the Knight-Wallace Fellowship for Journalists at the University of Michigan, as well as a political analyst for Inside Elections. As a journalist, he is covering his sixth presidential campaign cycle and has helped prepare moderators from multiple news organizations for more than 30 presidential debates. As CNN’s Director of Political Research for more than 17 years, his contributions to the network’s election coverage have earned him two Emmy Awards, five total Emmy nominations, a Peabody Award, and a National Headliner Award. In 2016, he was named by Mediaite as one of the most influential people in the news media."
Fall 2020,special,Election 2020,2020-12-09,10:00-11:30am,How Do We Heal the Widening Divide?,"Kevin Deegan-Krause, Vincent Hutchings, and Jennifer Silva",,,"This panel will explore how the US has become so polarized, and discuss our present racial, class, and urban/rural divides and their impact on the election, and our lives generally. With the election behind us when this discussion takes place, the panel will focus on how we return to American ideals, heal, and move forward.","Printed as “Monday, December 9” — December 9, 2020 was a Wednesday; recorded as printed.","Kevin Deegan-Krause is an Associate Professor of Political Science at Wayne State University. He received his undergraduate degree in Economics from Georgetown University in 1990 and his doctorate in Government from the University of Notre Dame in 2000. His latest book is The New Party Challenge: Changing Cycles of Party Birth and Death in Central Europe and Beyond (Oxford University Press, 2020).    Vincent Hutchings is the Hanes Walton Jr. Collegiate Professor of Political Science at UM and a Research Professor at the UM Institute for Social Research. His research examines the ways in which political campaigns and the media frame information about racial issues.    Jennifer Silva joined the O’Neill School of Public and Environmental Affairs at Indiana University in 2019. Previously, Silva taught sociology at Bucknell University. Silva’s latest book is We’re Still Here: Pain and Politics in the Heart of America (Oxford University Press, 2019)."
Fall 2020,special,The Lasting Impact of COVID-19,2020-09-15,10:00-11:30am,Health Perspectives on COVID-19,"Preeti N. Malani, Joy Ensor, and Jimena Loveluck",,,Three “essential” medical professionals share their unique observations and experiences about caring for Covid-19 patients.,,"Preeti N. Malani, M.D., MSJ, as chief health officer, serves as an adviser to the President on matters of health and well-being of the university community. Dr. Malani is a graduate of UM. She received her MD degree from Wayne State University School of Medicine. She is the director of the National Poll on Healthy Aging and an Associate Editor of the Journal of the American Medical Association (JAMA).    Joy Wolfe Ensor, Ph.D., is a licensed psychologist whose career has included public sector service, private practice, and adjunct faculty appointments at Wayne State and Eastern Michigan Universities. Dr. Ensor is a Fellow of the Michigan Psychological Association, received its Distinguished Psychologist Award in 2017, and is currently serving as its President.    Jimena Loveluck is the health officer of the Washtenaw County Health Department where she has served since 2017. She has a Master’s Degree focused in Social Work; Community Organization/Social Policy and Planning from Boston College. Loveluck is the first Latinx and first bilingual health officer for Washtenaw County."
Fall 2020,special,The Lasting Impact of COVID-19,2020-10-20,10:00-11:30am,Mitigating the Impact of COVID-19 on Underserved Communities: Lessons Learned from Flint and Implications for Reducing Health Disparities Beyond the COVID-19 Pandemic,Debra Furr-Holden and Lawrence Reynolds,,,"There have been tremendous racial, ethnic, economic, and geographic disparities in COVID-19 cases and outcomes. There are multiple causes of health disparities that pre-dated COVID-19 that have been amplified during the pandemic. We have learned multiple lessons in Flint to better understand the sources of health disparities and strategies to prevent and reduce the inequitable impact of COVID-19 on socially vulnerable communities. These lessons provide valuable insights on longer-term strategies to address health inequities beyond COVID-19.",,"Debra Furr-Holden, Ph.D., is the Associate Dean for Public Health Integration and Director of the Flint Center for Health Equity Solutions and MSU Co-Director of the Healthy Flint Research Coordinating Center. She is an epidemiologist and classically trained public health professional with expertise in drug and alcohol dependence epidemiology, psychiatric epidemiology, and prevention science.    Lawrence Reynolds, M.D., a pediatrician for 41 years, has been deeply involved in health and health advocacy, especially for underserved parts of the Flint community, for most of his career. He was president and CEO of the Mott Children’s Health Center. During the Flint water crisis, he was a member of then-Gov. Rick Snyder’s Flint Water Advisory Task Force. He is a graduate of Howard University College of Medicine."
Fall 2020,special,The Lasting Impact of COVID-19,2020-11-17,10:00-11:30am,"Pandemic Update: Vaccines, Testing and Treatments",Dr. Emily Toth Martin,"Faculty of Epidemiology, School of Public Health",University of Michigan,"In her follow-up to her talk to OLLI in May, Dr. Martin will explore what we’ve learned during the first nine months of the COVID-19 epidemic and how recent scientific advances have impacted the vaccine and antiviral landscape.",,"Dr. Emily Toth Martin is on the faculty of Epidemiology at the University of Michigan School of Public Health. Her research focuses on building a greater understanding of the epidemiology of viral respiratory diseases (including RSV, bocavirus, and influenza) through the use of molecular epidemiology. In particular, her work aims to identify strategies to reduce infections, particularly in individuals with chronic comorbidities and in hospital infectious environments (including MRSA / VRE coinfection)."
Fall 2020,special,The Lasting Impact of COVID-19,2020-12-15,10:00-11:30am,Joy in the Time of COVID-19,"Victor J. Strecher, Ph.D., MPH","Professor, Health Behavior & Health Education",University of Michigan,"This presentation will cover purpose in life, posttraumatic growth during and after our experience with COVID-19 and positive consequences from this pandemic.",,"An innovative teacher and researcher, in 1995 Professor Victor Strecher founded the UM Center for Health Communications Research, studying the future of digitally tailored health communications when fewer than 15% of Americans had Internet access. He’s also an entrepreneur, founding HealthMedia, a digital health coaching company that was sold to Johnson & Johnson in 2010. More recently, he created Kumanu, a digital platform designed to help individuals and organizations live more purposefully. In 2010, he won the University of Michigan’s Distinguished Innovator Award."
Winter/Spring 2021,tuesday-distinguished,Distinguished Lecture Series,2021-02-09,10:00-11:30am,How to Win the Game… and Keep Winning,John Branch,Co-Director of the Yaffe Digital Media Initiative,University of Michigan,"It seems ironic that in a business which is increasingly competitive, most managers fail to appreciate the basic nature of competition. And more important they do not know how to win the game ……. Or keep on winning. The purpose of this presentation is therefore to explore the nature of competition, and thereby the methods to win the game ….and keep on winning.",All Winter/Spring 2021 programs offered online (COVID-19).,"John Branch currently teaches a variety of marketing and international business courses at the undergraduate, MBA and executive levels at the Stephen M. Ross School of Business at the University of Michigan and serves as Co-Director of the Yaffe Digital Media Initiative. Previously he was Academic Director of the School’s weekend and evening MBA programs. In addition, he serves as Director of Educational Outreach at the University’s William Davidson Institute. He also holds an appointment at the University’s Center for Russian, East European and Eurasian studies."
Winter/Spring 2021,tuesday-distinguished,Distinguished Lecture Series,2021-03-09,10:00-11:30am,The Political Power of Optimism,Sandra R. Levitsky,Arthur F. Thurnau Professor and Associate Professor of Sociology,University of Michigan,We are in a historical moment when longstanding social problems have taken on new urgency. The Black Lives movement and the MeToo movement emerged out of decade-long frustrations with the persistence of deep racial and gender inequalities. How do we understand the political possibilities for overcoming durable forms of social inequalities? The talk draws on core ideas from sociology to consider the political power of optimism and voice in driving social reform efforts.,,"Sandra R. Levitsky is an Arthur F. Thurnau Professor and Associate Professor of Sociology. She holds a Ph.D. in Sociology from the University of Wisconsin and a J.D. from the University of Minnesota. Her research focuses on American social policy, political mobilization, and relationship between law and social change. Her book, Caring for our Own: Why There is No Political Demand for New American Social Welfare Rights, examines the politics of long-term care. Her current research examines the changing legal environment around Title IX and campus sexual assault."
Winter/Spring 2021,tuesday-distinguished,Distinguished Lecture Series,2021-04-13,10:00-11:30am,What the First Amendment Really Means,Don Herzog,Edson R. Sunderland Professor of Law,University of Michigan,"The First Amendment protects several basic liberties - freedom of religion, speech, press, petition, and assembly. Speaker will address some popular misconceptions about the First Amendment - both the speech and religion clauses - and then examine some high profile disputes.",,"He is the Edson R. Sunderland Professor of Law. His main teaching interests are political, moral, legal, and social theory; constitutional interpretation; torts and the First Amendment. Professor Herzog holds an AB from Cornell University and PhD from Harvard University. He joined the Political Science Department at the University of Michigan in 1983 and holds a joint appointment in that department and the Law School. In 2011 Professor Herzog was selected by the U of M student body to receive its coveted Golden Apple. He is the first law professor to receive a Golden Apple in the Award’s 20-year history."
Winter/Spring 2021,tuesday-distinguished,Distinguished Lecture Series,2021-05-11,10:00-11:30am,The Economy: How Long Will It Take to Recover in Light of COVID-19 Pandemic?,Betsey Stevenson,Professor of Public Policy and Economics,University of Michigan,"After more than half century of progress, the COVID-19 pandemic has shifted the women’s labor force participation back to many decades as they grapple with job loss and child care loss. Will this permanently set women back? How long will this take for the economy to recover? Professor Stevenson will cover the current state of the macro economy with a focus on how the pandemic and government policy responses have affected the labor market and the shape of the economic recovery.",,"Betsey Stevenson is a professor of public policy and economics at the University of Michigan. She is a faculty research associate at the National Bureau of Economic Research, a visiting associate professor of Economics at the University of Sydney, a research fellow of the Centre for Economic Research, a fellow of the IFO Institute for Economic Research in Munich, and serves on the executive committee of the American Economic Association. She served as a member of the Council of Economic Advisors from 2013 to 2015, where she advised the Obama Administration on social policy, labor market, and trade issues. She served as the chief economist of the U.S. Department of Labor from 2010 to 2011. Dr Stevenson earned a B.A. in economics and mathematics from Wellesley College and an M.A. and Ph.D. in economics from Harvard University."
Winter/Spring 2021,tuesday-distinguished,Distinguished Lecture Series,2021-06-08,10:00-11:30am,Sovereignty Sharing in Fragile States,John D. Ciorciari,"Associate Professor of Public Policy; Director of the Weiser Diplomacy Center and International Policy Center, Gerald R. Ford School of Public Policy",University of Michigan,"In many parts of the world, countries emerging from conflict suffer from grave deficits in the rule of law. Weak courts, police, and anticorruption mechanism allow insecurity, graft and impunity to fester. In some extraordinary cases, the United Nations and other international actors have partnered with national governments, sharing sovereign authority over key functions to bolster the rule of law. This talk will discuss the power and pitfalls of sharing sovereignty, drawing examples in West Africa, the Middle East, Southeast Asia, and Central America.",,"John D. Ciorciari is an Associate professor of Public Policy and Director of the Ford School’s Weiser Diplomacy Center and International Policy Center at the Gerald R. Ford School of Public Policy, University of Michigan. His research focuses on international law and politics in the Global South. He is the author or editor of several books on international politics and law, including a new book entitled “Sovereignty Sharing in Fragile States”. He received his AB and JD from Harvard University, his DPhil and Fulbright Scholar from University of Oxford."
Winter/Spring 2021,special,It’s Been a (COVID-19) Year: Where Are We and Where Are We Headed?,2021-01-19,10:00-11:30 AM,"Covid-19 Health Update: Trends, Treatment and Vaccines",Emily Toth Martin and Lona Mody,,University of Michigan,"UM Epidemiologist Emily Toth Martin and UM Infectious Disease Physician Lona Mody will explore the latest updates in Covid-19 on campus, in Ann Arbor and across the state; treatment successes and challenges; and vaccine outlook.",,"Dr. Emily Toth Martin, PhD, MPH, is on the faculty of Epidemiology at the UM School of Public Health. Her research focuses on building a greater understanding of the epidemiology of viral respiratory diseases (including RSV, bocavirus and influenza) through the use of molecular epidemiology.    Lona Mody, MD, is one of very few internists in this country with an expertise in aging populations, epidemiology, an active research laboratory in microbiology and a translational research agenda focused on vulnerable aging population. Her NIH and AHRQ funded work has created a thriving consortium of post-acute and long-term care facilities in SE Michigan interested in developing interventions to enhance infection prevention in a traditionally resource poor setting."
Winter/Spring 2021,special,It’s Been a (COVID-19) Year: Where Are We and Where Are We Headed?,2021-02-16,10:00-11:30 AM,Mental Health Perspectives During the COVID-19 Pandemic,Sheria Robinson-Lane and Sheila Marcus,,University of Michigan,"As the pandemic continues without a specific end in sight, many of us here and around the world continue to struggle emotionally. Two experts will shed light on how those struggles are manifesting themselves today and what we can anticipate in the mental health realm going forward. Dr. Sheria Robinson-Lane will focus on pandemic impacts in older adults. Dr. Sheila Marcus will speak to mental health implications of the pandemic on adults and children as well as strategies for managing associated ongoing stress.",,"Sheria Robinson-Lane, PhD, RN, is a gerontologist with expertise in palliative care, long-term care, and nursing administration. She has focused her career on the care and support of older adults with cognitive and/or functional disabilities. Her research is focused on reducing health disparities for minority older adults with cognitive impairments and their informal caregivers.    Sheila M. Marcus, MD, is a Clinical Professor in the UM Department of Psychiatry and Division head of Child and Adolescent Psychiatry. She leads a statewide program MC3 which assists primary care providers throughout the state in caring for individuals with mental health concerns."
Winter/Spring 2021,special,It’s Been a (COVID-19) Year: Where Are We and Where Are We Headed?,2021-03-16,10:00-11:30 AM,Business in the Time of COVID: Current Challenges and Future Perspective,"Paula Gardner, Mike Gustafson, and Grace Singleton",,,"Although some businesses and organizations have thrived and flourished during Covid-19, many more have suffered financially with their owners and employees being impacted both psychologically and personally. The panel will bring to light the challenges and pressures faced by small businesses in our community -- and the country as a whole -- and what the future may hold.",,"Paula Gardner joined Bridge Magazine as its first business editor in April 2020. Her career includes several years at MLive.com, where she was editor of The Ann Arbor News, statewide business reporter and part of an award-winning environmental coverage team. Among her honors is an award naming her Michigan’s Journalist of the Year in 2019 from the Michigan Press Association.    Mike Gustafson is the co-owner of Literati Bookstore in Ann Arbor. Literati, which opened in 2013, is a full-service, general interest bookstore. In 2019, Literati was honored as the 2019 Publishers Weekly Bookstore of the Year. Mike is also the co-editor of the 2019 Michigan Notable Book, Notes from a Public Typewriter.    Grace Singleton has been a managing partner of Zingerman’s Delicatessen since 2002. She serves as the Board President of Kerrytown District Association. She has over 30 years of experience working with food, which includes working as a chef, wine buyer, dining room manager, general manager, and specialty food buyer."
Winter/Spring 2021,special,It’s Been a (COVID-19) Year: Where Are We and Where Are We Headed?,2021-04-20,10:00-11:30 AM,COVID-19 Pandemic Impacts on the Environment and Climate,Chris Poulsen,"Associate Dean for Natural Sciences, College of LSA; Henry Pollack Collegiate Professor of Earth & Environmental Sciences and Climate & Space Sciences and Engineering",University of Michigan,"The COVID-19 pandemic, by slowing economic activity, has led to significant reductions in industrial emissions, leading to cleaner air and water and an unprecedented decline in carbon emissions. This talk will describe impacts of the pandemic on different aspects of the environment and climate, and discuss how to extend these short term benefits beyond the life of the pandemic.",,"Chris Poulsen is associate dean for natural sciences for the UM College of LSA, and is the Henry Pollack Collegiate Professor of Earth & Environmental sciences and Climate & Space Sciences and Engineering. Professor Poulsen is a climate scientist, whose research interests include past and future climate change, climate dynamics, and hydrological cycling. He received his BA in geology from Carleton College and a PhD in Geosciences from the Pennsylvania State University."
Winter/Spring 2021,special,It’s Been a (COVID-19) Year: Where Are We and Where Are We Headed?,2021-05-18,10:00-11:30 AM,"Shelter in Place: How the Pandemic is Changing our Cities, Neighborhoods and Homes",Kit Krankel McCullough,"Architectural and urban designer; faculty member, Taubman College of Architecture and Urban Planning",University of Michigan,"Many of us are thinking about how the pandemic will impact our lives going forward. This includes architects and designers who are imagining the changes that the pandemic will bring to urban spaces, neighborhoods, and homes. Kit Krankel McCullough will discuss some of the ways our surroundings are adapting to post-pandemic life and provide us with an inside look at what might be in our not-so-distant future.",,"Through her urban design practice and teaching, Ms. McCullough advocates for equitable and socially just development, healthy and sustainable environments, strong communities, and cities that promote well-being and happiness. At UM, she teaches design studios on housing and neighborhood development, seminars on transportation and urban economics, and a popular lecture course on real estate development for architects and planners. She received her Bachelor of Architecture from the University of Texas at Austin and her Master of Architecture in Urban Design from Harvard University."
Winter/Spring 2021,special,Medical Ethics 101,2021-02-03,10:00 am - 11:30 am,History of Clinical Ethics and Ethics; Epidemics; and Clinical Ethics in the Time of Crisis,"Christian Vercler, M.D.",,University of Michigan,"Medical Ethics 101 is a three-lecture series, as the name implies, covering the fundamentals of the field. This information is vital for normal times but is particularly valuable at a time such as the current with the COVID19 pandemic in full force. All of our three faculty members are members of the faculty of the University of Michigan Medical School and two of them are physicians with active medical practices as well as duties as medical ethics consultants. The third, Ed Goldman, is an attorney whose whole career has been engagement in healthcare legal affairs.","Lecture #1 of 3. Per-lecture entries print title, date, and faculty only; the description is shared from the series introduction.",
Winter/Spring 2021,special,Medical Ethics 101,2021-02-10,10:00 am - 11:30 am,Ethics at the End of Life: Principles and Case Discussions; and The Interplay between Medical Ethics and Evolving Medical Science,"Adam Marks, M.D.",,University of Michigan,"Medical Ethics 101 is a three-lecture series, as the name implies, covering the fundamentals of the field. This information is vital for normal times but is particularly valuable at a time such as the current with the COVID19 pandemic in full force. All of our three faculty members are members of the faculty of the University of Michigan Medical School and two of them are physicians with active medical practices as well as duties as medical ethics consultants. The third, Ed Goldman, is an attorney whose whole career has been engagement in healthcare legal affairs.","Lecture #2 of 3. Per-lecture entries print title, date, and faculty only; the description is shared from the series introduction.",
